Traveler Registration & Vehicle Rental Overview;;;;;;;;;;;;;;;;;;;;;;;;;
Synthetic Master Dataset Ñ Travel Window (June 15 Ð August 31);;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
National ID;Name;Surname;Nationality;Flight ID;Arrival Day;Departure Day;Total Days;Destination Country;Rent Car;Credit Card Number;Credit Card Country Issued;Plate Number;;;;;;;;;;;;;
ID30868105;James;Smith;Australian;AF204;2026-06-26;2026-07-03;7;Eswatini;Yes;4367-6635-5333-1711;Eswatini;;;;;;;;;;;;;;
ID81971316;Emma;Johnson;British;EK180;2026-07-22;2026-08-01;10;Congo;No;4591-4150-2139-1750;British;;;;;;;;;;;;;;
ID48840994;Liam;Williams;British;BA987;2026-06-27;2026-07-04;7;Papua New Guinea;No;4464-6977-3664-7065;Papua New Guinea;;;;;;;;;;;;;;
ID38119557;Olivia;Brown;German;DL723;2026-07-06;2026-07-15;9;Pennsylvania;Yes;4167-8573-7216-5422;German;;;;;;;;;;;;;;
ID53524491;Noah;Jones;American;BA941;2026-06-19;2026-06-25;6;Myanmar;No;4274-2084-4456-6155;American;;;;;;;;;;;;;;
ID97971488;Ava;Garcia;Italian;EK758;2026-08-12;2026-08-15;3;Pennsylvania;No;4142-5040-9830-5304;Pennsylvania;;;;;;;;;;;;;;
ID88320463;Ethan;Miller;Japanese;AF324;2026-07-02;2026-07-11;9;Congo;No;4093-1771-2796-3504;Japanese;;;;;;;;;;;;;;
ID66661351;Sophia;Davis;Dutch;DL494;2026-08-02;2026-08-12;10;Sri Lanka;No;4541-5119-1188-2876;Sri Lanka;;;;;;;;;;;;;;
ID96028436;Mason;Rodriguez;French;DL400;2026-08-09;2026-08-12;3;Pennsylvania;No;4003-5315-9201-3927;French;;;;;;;;;;;;;;
ID93926371;Isabella;Martinez;German;QF723;2026-07-10;2026-07-13;3;Papua New Guinea;No;4780-3646-9837-9689;German;;;;;;;;;;;;;;
ID90388981;Lucas;Hernandez;French;SQ119;2026-06-29;2026-07-05;6;Myanmar;No;4245-1949-4946-2290;French;;;;;;;;;;;;;;
ID75228535;Mia;Lopez;British;QF884;2026-07-01;2026-07-04;3;Myanmar;No;4969-3705-5342-9645;Myanmar;;;;;;;;;;;;;;
ID38427073;Oliver;Gonzalez;Spanish;BA830;2026-07-24;2026-07-31;7;Myanmar;No;4448-9479-8397-2982;Spanish;;;;;;;;;;;;;;
ID40158366;Charlotte;Wilson;British;AF121;2026-07-14;2026-07-24;10;Sri Lanka;Yes;4007-2163-1964-4750;British;;;;;;;;;;;;;;
